full_name,cycles,taq,sample_type,sample_name
15x_ACC_Mock_DNA1,15x,ACC,Mock,DNA1
15x_ACC_Mock_DNA2,15x,ACC,Mock,DNA2
15x_ACC_Mock_DNA3,15x,ACC,Mock,DNA3
15x_ACC_Mock_DNA4,15x,ACC,Mock,DNA4
15x_ACC_Water,15x,ACC,Water,NA
15x_K_Mock_DNA1,15x,K,Mock,DNA1
15x_K_Mock_DNA2,15x,K,Mock,DNA2
15x_K_Mock_DNA3,15x,K,Mock,DNA3
15x_K_Mock_DNA4,15x,K,Mock,DNA4
15x_K_Water,15x,K,Water,NA
15x_PHU_Mock_DNA1,15x,PHU,Mock,DNA1
15x_PHU_Mock_DNA2,15x,PHU,Mock,DNA2
15x_PHU_Mock_DNA3,15x,PHU,Mock,DNA3
15x_PHU_Mock_DNA4,15x,PHU,Mock,DNA4
15x_PHU_Water,15x,PHU,Water,NA
15x_PL_Mock_DNA1,15x,PL,Mock,DNA1
15x_PL_Mock_DNA2,15x,PL,Mock,DNA2
15x_PL_Mock_DNA3,15x,PL,Mock,DNA3
15x_PL_Mock_DNA4,15x,PL,Mock,DNA4
15x_PL_Water,15x,PL,Water,NA
15x_Q5_Mock_DNA1,15x,Q5,Mock,DNA1
15x_Q5_Mock_DNA2,15x,Q5,Mock,DNA2
15x_Q5_Mock_DNA3,15x,Q5,Mock,DNA3
15x_Q5_Mock_DNA4,15x,Q5,Mock,DNA4
15x_Q5_Water,15x,Q5,Water,NA
20x_ACC_Mock_DNA1,20x,ACC,Mock,DNA1
20x_ACC_Mock_DNA2,20x,ACC,Mock,DNA2
20x_ACC_Mock_DNA3,20x,ACC,Mock,DNA3
20x_ACC_Mock_DNA4,20x,ACC,Mock,DNA4
20x_ACC_Water,20x,ACC,Water,NA
20x_K_Mock_DNA1,20x,K,Mock,DNA1
20x_K_Mock_DNA2,20x,K,Mock,DNA2
20x_K_Mock_DNA3,20x,K,Mock,DNA3
20x_K_Mock_DNA4,20x,K,Mock,DNA4
20x_K_Water,20x,K,Water,NA
20x_PHU_Mock_DNA1,20x,PHU,Mock,DNA1
20x_PHU_Mock_DNA2,20x,PHU,Mock,DNA2
20x_PHU_Mock_DNA3,20x,PHU,Mock,DNA3
20x_PHU_Mock_DNA4,20x,PHU,Mock,DNA4
20x_PHU_Water,20x,PHU,Water,NA
20x_PL_Mock_DNA1,20x,PL,Mock,DNA1
20x_PL_Mock_DNA2,20x,PL,Mock,DNA2
20x_PL_Mock_DNA3,20x,PL,Mock,DNA3
20x_PL_Mock_DNA4,20x,PL,Mock,DNA4
20x_PL_Water,20x,PL,Water,NA
20x_Q5_Mock_DNA1,20x,Q5,Mock,DNA1
20x_Q5_Mock_DNA2,20x,Q5,Mock,DNA2
20x_Q5_Mock_DNA3,20x,Q5,Mock,DNA3
20x_Q5_Mock_DNA4,20x,Q5,Mock,DNA4
20x_Q5_Water,20x,Q5,Water,NA
25x_ACC_Mock_DNA1,25x,ACC,Mock,DNA1
25x_ACC_Mock_DNA2,25x,ACC,Mock,DNA2
25x_ACC_Mock_DNA3,25x,ACC,Mock,DNA3
25x_ACC_Mock_DNA4,25x,ACC,Mock,DNA4
25x_ACC_Water,25x,ACC,Water,NA
25x_K_Mock_DNA1,25x,K,Mock,DNA1
25x_K_Mock_DNA2,25x,K,Mock,DNA2
25x_K_Mock_DNA3,25x,K,Mock,DNA3
25x_K_Mock_DNA4,25x,K,Mock,DNA4
25x_K_Water,25x,K,Water,NA
25x_PHU_Mock_DNA1,25x,PHU,Mock,DNA1
25x_PHU_Mock_DNA2,25x,PHU,Mock,DNA2
25x_PHU_Mock_DNA3,25x,PHU,Mock,DNA3
25x_PHU_Mock_DNA4,25x,PHU,Mock,DNA4
25x_PHU_Water,25x,PHU,Water,NA
25x_PL_Mock_DNA1,25x,PL,Mock,DNA1
25x_PL_Mock_DNA2,25x,PL,Mock,DNA2
25x_PL_Mock_DNA3,25x,PL,Mock,DNA3
25x_PL_Mock_DNA4,25x,PL,Mock,DNA4
25x_PL_Water,25x,PL,Water,NA
25x_Q5_Mock_DNA1,25x,Q5,Mock,DNA1
25x_Q5_Mock_DNA2,25x,Q5,Mock,DNA2
25x_Q5_Mock_DNA3,25x,Q5,Mock,DNA3
25x_Q5_Mock_DNA4,25x,Q5,Mock,DNA4
25x_Q5_Water,25x,Q5,Water,NA
30x_ACC_Mock_DNA10,30x,ACC,Mock,DNA10
30x_ACC_Mock_DNA1,30x,ACC,Mock,DNA1
30x_ACC_Mock_DNA2,30x,ACC,Mock,DNA2
30x_ACC_Mock_DNA3,30x,ACC,Mock,DNA3
30x_ACC_Mock_DNA4,30x,ACC,Mock,DNA4
30x_ACC_Mock_DNA5,30x,ACC,Mock,DNA5
30x_ACC_Mock_DNA6,30x,ACC,Mock,DNA6
30x_ACC_Mock_DNA7,30x,ACC,Mock,DNA7
30x_ACC_Mock_DNA8,30x,ACC,Mock,DNA8
30x_ACC_Mock_DNA9,30x,ACC,Mock,DNA9
30x_ACC_Water,30x,ACC,Water,NA
30x_K_Mock_DNA10,30x,K,Mock,DNA10
30x_K_Mock_DNA1,30x,K,Mock,DNA1
30x_K_Mock_DNA2,30x,K,Mock,DNA2
30x_K_Mock_DNA3,30x,K,Mock,DNA3
30x_K_Mock_DNA4,30x,K,Mock,DNA4
30x_K_Mock_DNA5,30x,K,Mock,DNA5
30x_K_Mock_DNA6,30x,K,Mock,DNA6
30x_K_Mock_DNA7,30x,K,Mock,DNA7
30x_K_Mock_DNA8,30x,K,Mock,DNA8
30x_K_Mock_DNA9,30x,K,Mock,DNA9
30x_K_Water,30x,K,Water,NA
30x_PHU_Mock_DNA1,30x,PHU,Mock,DNA1
30x_PHU_Mock_DNA2,30x,PHU,Mock,DNA2
30x_PHU_Mock_DNA3,30x,PHU,Mock,DNA3
30x_PHU_Mock_DNA4,30x,PHU,Mock,DNA4
30x_PHU_Water,30x,PHU,Water,NA
30x_PL_Mock_DNA10,30x,PL,Mock,DNA10
30x_PL_Mock_DNA1,30x,PL,Mock,DNA1
30x_PL_Mock_DNA2,30x,PL,Mock,DNA2
30x_PL_Mock_DNA3,30x,PL,Mock,DNA3
30x_PL_Mock_DNA4,30x,PL,Mock,DNA4
30x_PL_Mock_DNA5,30x,PL,Mock,DNA5
30x_PL_Mock_DNA6,30x,PL,Mock,DNA6
30x_PL_Mock_DNA7,30x,PL,Mock,DNA7
30x_PL_Mock_DNA8,30x,PL,Mock,DNA8
30x_PL_Mock_DNA9,30x,PL,Mock,DNA9
30x_PL_Water,30x,PL,Water,NA
30x_Q5_Mock_DNA10,30x,Q5,Mock,DNA10
30x_Q5_Mock_DNA1,30x,Q5,Mock,DNA1
30x_Q5_Mock_DNA2,30x,Q5,Mock,DNA2
30x_Q5_Mock_DNA3,30x,Q5,Mock,DNA3
30x_Q5_Mock_DNA4,30x,Q5,Mock,DNA4
30x_Q5_Mock_DNA5,30x,Q5,Mock,DNA5
30x_Q5_Mock_DNA6,30x,Q5,Mock,DNA6
30x_Q5_Mock_DNA7,30x,Q5,Mock,DNA7
30x_Q5_Mock_DNA8,30x,Q5,Mock,DNA8
30x_Q5_Mock_DNA9,30x,Q5,Mock,DNA9
30x_Q5_Water,30x,Q5,Water,NA
35x_ACC_Mock_DNA1,35x,ACC,Mock,DNA1
35x_ACC_Mock_DNA2,35x,ACC,Mock,DNA2
35x_ACC_Mock_DNA3,35x,ACC,Mock,DNA3
35x_ACC_Mock_DNA4,35x,ACC,Mock,DNA4
35x_ACC_Water,35x,ACC,Water,NA
35x_K_Mock_DNA1,35x,K,Mock,DNA1
35x_K_Mock_DNA2,35x,K,Mock,DNA2
35x_K_Mock_DNA3,35x,K,Mock,DNA3
35x_K_Mock_DNA4,35x,K,Mock,DNA4
35x_K_Water,35x,K,Water,NA
35x_PHU_Mock_DNA1,35x,PHU,Mock,DNA1
35x_PHU_Mock_DNA2,35x,PHU,Mock,DNA2
35x_PHU_Mock_DNA3,35x,PHU,Mock,DNA3
35x_PHU_Mock_DNA4,35x,PHU,Mock,DNA4
35x_PHU_Water,35x,PHU,Water,NA
35x_PL_Mock_DNA1,35x,PL,Mock,DNA1
35x_PL_Mock_DNA2,35x,PL,Mock,DNA2
35x_PL_Mock_DNA3,35x,PL,Mock,DNA3
35x_PL_Mock_DNA4,35x,PL,Mock,DNA4
35x_PL_Water,35x,PL,Water,NA
35x_Q5_Mock_DNA1,35x,Q5,Mock,DNA1
35x_Q5_Mock_DNA2,35x,Q5,Mock,DNA2
35x_Q5_Mock_DNA3,35x,Q5,Mock,DNA3
35x_Q5_Mock_DNA4,35x,Q5,Mock,DNA4
35x_Q5_Water,35x,Q5,Water,NA
PMM_ZymoControl1,30x,ACC,NA,NA
PMM_ZymoControl2,30x,ACC,NA,NA
PMM_ZymoControl3,30x,ACC,NA,NA
PMM_ZymoControl4,30x,ACC,NA,NA
15x_ACC_PMM_FS_DA10001,15x,ACC,FS,DA10001
15x_ACC_PMM_FS_DA10016,15x,ACC,FS,DA10016
15x_ACC_PMM_FS_DA10029,15x,ACC,FS,DA10029
15x_ACC_PMM_FS_DA10040,15x,ACC,FS,DA10040
15x_K_PMM_FS_DA10001,15x,K,FS,DA10001
15x_K_PMM_FS_DA10016,15x,K,FS,DA10016
15x_K_PMM_FS_DA10029,15x,K,FS,DA10029
15x_K_PMM_FS_DA10040,15x,K,FS,DA10040
15x_PHU_PMM_FS_DA10001,15x,PHU,FS,DA10001
15x_PHU_PMM_FS_DA10016,15x,PHU,FS,DA10016
15x_PHU_PMM_FS_DA10029,15x,PHU,FS,DA10029
15x_PHU_PMM_FS_DA10040,15x,PHU,FS,DA10040
15x_PL_PMM_FS_DA10001,15x,PL,FS,DA10001
15x_PL_PMM_FS_DA10016,15x,PL,FS,DA10016
15x_PL_PMM_FS_DA10029,15x,PL,FS,DA10029
15x_PL_PMM_FS_DA10040,15x,PL,FS,DA10040
15x_Q5_PMM_FS_DA10001,15x,Q5,FS,DA10001
15x_Q5_PMM_FS_DA10016,15x,Q5,FS,DA10016
15x_Q5_PMM_FS_DA10029,15x,Q5,FS,DA10029
15x_Q5_PMM_FS_DA10040,15x,Q5,FS,DA10040
20x_ACC_PMM_FS_DA10001,20x,ACC,FS,DA10001
20x_ACC_PMM_FS_DA10016,20x,ACC,FS,DA10016
20x_ACC_PMM_FS_DA10029,20x,ACC,FS,DA10029
20x_ACC_PMM_FS_DA10040,20x,ACC,FS,DA10040
20x_K_PMM_FS_DA10001,20x,K,FS,DA10001
20x_K_PMM_FS_DA10016,20x,K,FS,DA10016
20x_K_PMM_FS_DA10029,20x,K,FS,DA10029
20x_K_PMM_FS_DA10040,20x,K,FS,DA10040
20x_PHU_PMM_FS_DA10001,20x,PHU,FS,DA10001
20x_PHU_PMM_FS_DA10016,20x,PHU,FS,DA10016
20x_PHU_PMM_FS_DA10029,20x,PHU,FS,DA10029
20x_PHU_PMM_FS_DA10040,20x,PHU,FS,DA10040
20x_PL_PMM_FS_DA10001,20x,PL,FS,DA10001
20x_PL_PMM_FS_DA10016,20x,PL,FS,DA10016
20x_PL_PMM_FS_DA10029,20x,PL,FS,DA10029
20x_PL_PMM_FS_DA10040,20x,PL,FS,DA10040
20x_Q5_PMM_FS_DA10001,20x,Q5,FS,DA10001
20x_Q5_PMM_FS_DA10016,20x,Q5,FS,DA10016
20x_Q5_PMM_FS_DA10029,20x,Q5,FS,DA10029
20x_Q5_PMM_FS_DA10040,20x,Q5,FS,DA10040
25x_ACC_PMM_FS_DA10001,25x,ACC,FS,DA10001
25x_ACC_PMM_FS_DA10016,25x,ACC,FS,DA10016
25x_ACC_PMM_FS_DA10029,25x,ACC,FS,DA10029
25x_ACC_PMM_FS_DA10040,25x,ACC,FS,DA10040
25x_K_PMM_FS_DA10001,25x,K,FS,DA10001
25x_K_PMM_FS_DA10016,25x,K,FS,DA10016
25x_K_PMM_FS_DA10029,25x,K,FS,DA10029
25x_K_PMM_FS_DA10040,25x,K,FS,DA10040
25x_PHU_PMM_FS_DA10001,25x,PHU,FS,DA10001
25x_PHU_PMM_FS_DA10016,25x,PHU,FS,DA10016
25x_PHU_PMM_FS_DA10029,25x,PHU,FS,DA10029
25x_PHU_PMM_FS_DA10040,25x,PHU,FS,DA10040
25x_PL_PMM_FS_DA10001,25x,PL,FS,DA10001
25x_PL_PMM_FS_DA10016,25x,PL,FS,DA10016
25x_PL_PMM_FS_DA10029,25x,PL,FS,DA10029
25x_PL_PMM_FS_DA10040,25x,PL,FS,DA10040
25x_Q5_PMM_FS_DA10001,25x,Q5,FS,DA10001
25x_Q5_PMM_FS_DA10016,25x,Q5,FS,DA10016
25x_Q5_PMM_FS_DA10029,25x,Q5,FS,DA10029
25x_Q5_PMM_FS_DA10040,25x,Q5,FS,DA10040
30x_ACC_PMM_FS_DA10001,30x,ACC,FS,DA10001
30x_ACC_PMM_FS_DA10002,30x,ACC,FS,DA10002
30x_ACC_PMM_FS_DA10016,30x,ACC,FS,DA10016
30x_ACC_PMM_FS_DA10017,30x,ACC,FS,DA10017
30x_ACC_PMM_FS_DA10029,30x,ACC,FS,DA10029
30x_ACC_PMM_FS_DA10040,30x,ACC,FS,DA10040
30x_ACC_PMM_FS_DA10055,30x,ACC,FS,DA10055
30x_ACC_PMM_FS_DA10069,30x,ACC,FS,DA10069
30x_ACC_PMM_FS_DA10088,30x,ACC,FS,DA10088
30x_ACC_PMM_FS_DA10103,30x,ACC,FS,DA10103
30x_K_PMM_FS_DA10002,30x,K,FS,DA10002
30x_K_PMM_FS_DA10017,30x,K,FS,DA10017
30x_PHU_PMM_FS_DA10001,30x,PHU,FS,DA10001
30x_PHU_PMM_FS_DA10002,30x,PHU,FS,DA10002
30x_PHU_PMM_FS_DA10016,30x,PHU,FS,DA10016
30x_PHU_PMM_FS_DA10017,30x,PHU,FS,DA10017
30x_PHU_PMM_FS_DA10029,30x,PHU,FS,DA10029
30x_PHU_PMM_FS_DA10040,30x,PHU,FS,DA10040
30x_PHU_PMM_FS_DA10055,30x,PHU,FS,DA10055
30x_PHU_PMM_FS_DA10069,30x,PHU,FS,DA10069
30x_PHU_PMM_FS_DA10088,30x,PHU,FS,DA10088
30x_PHU_PMM_FS_DA10103,30x,PHU,FS,DA10103
30x_PL_PMM_FS_DA10001,30x,PL,FS,DA10001
30x_PL_PMM_FS_DA10002,30x,PL,FS,DA10002
30x_PL_PMM_FS_DA10016,30x,PL,FS,DA10016
30x_PL_PMM_FS_DA10017,30x,PL,FS,DA10017
30x_PL_PMM_FS_DA10029,30x,PL,FS,DA10029
30x_PL_PMM_FS_DA10040,30x,PL,FS,DA10040
30x_PL_PMM_FS_DA10055,30x,PL,FS,DA10055
30x_PL_PMM_FS_DA10069,30x,PL,FS,DA10069
30x_PL_PMM_FS_DA10088,30x,PL,FS,DA10088
30x_PL_PMM_FS_DA10103,30x,PL,FS,DA10103
30x_Q5_PMM_FS_DA10001,30x,Q5,FS,DA10001
30x_Q5_PMM_FS_DA10002,30x,Q5,FS,DA10002
30x_Q5_PMM_FS_DA10016,30x,Q5,FS,DA10016
30x_Q5_PMM_FS_DA10017,30x,Q5,FS,DA10017
30x_Q5_PMM_FS_DA10029,30x,Q5,FS,DA10029
30x_Q5_PMM_FS_DA10040,30x,Q5,FS,DA10040
30x_Q5_PMM_FS_DA10055,30x,Q5,FS,DA10055
30x_Q5_PMM_FS_DA10069,30x,Q5,FS,DA10069
30x_Q5_PMM_FS_DA10088,30x,Q5,FS,DA10088
30x_Q5_PMM_FS_DA10103,30x,Q5,FS,DA10103
35x_ACC_PMM_FS_DA10001,35x,ACC,FS,DA10001
35x_ACC_PMM_FS_DA10016,35x,ACC,FS,DA10016
35x_ACC_PMM_FS_DA10029,35x,ACC,FS,DA10029
35x_ACC_PMM_FS_DA10040,35x,ACC,FS,DA10040
35x_K_PMM_FS_DA10001,35x,K,FS,DA10001
35x_K_PMM_FS_DA10016,35x,K,FS,DA10016
35x_K_PMM_FS_DA10029,35x,K,FS,DA10029
35x_K_PMM_FS_DA10040,35x,K,FS,DA10040
35x_PHU_PMM_FS_DA10001,35x,PHU,FS,DA10001
35x_PHU_PMM_FS_DA10016,35x,PHU,FS,DA10016
35x_PHU_PMM_FS_DA10029,35x,PHU,FS,DA10029
35x_PHU_PMM_FS_DA10040,35x,PHU,FS,DA10040
35x_PL_PMM_FS_DA10001,35x,PL,FS,DA10001
35x_PL_PMM_FS_DA10016,35x,PL,FS,DA10016
35x_PL_PMM_FS_DA10029,35x,PL,FS,DA10029
35x_PL_PMM_FS_DA10040,35x,PL,FS,DA10040
35x_Q5_PMM_FS_DA10001,35x,Q5,FS,DA10001
35x_Q5_PMM_FS_DA10016,35x,Q5,FS,DA10016
35x_Q5_PMM_FS_DA10029,35x,Q5,FS,DA10029
35x_Q5_PMM_FS_DA10040,35x,Q5,FS,DA10040
